entity_id,state,last_changed
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T18:27:47.613Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.086,2026-07-24T18:32:34.717Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-24T18:37:21.851Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.086,2026-07-24T18:42:08.934Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-24T18:46:55.899Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-24T18:52:40.199Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.104,2026-07-24T18:57:27.100Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.082,2026-07-24T19:07:00.924Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-24T19:11:47.771Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T19:16:34.587Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-24T19:21:21.428Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.086,2026-07-24T19:26:08.178Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-24T19:30:54.951Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-24T19:33:46.960Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-24T19:38:33.680Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-24T19:42:03.919Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T19:46:50.599Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-24T19:51:37.260Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T19:56:23.894Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-24T20:01:10.474Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-24T20:10:43.603Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-24T20:15:30.179Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-24T20:20:16.675Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.086,2026-07-24T20:25:03.200Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-24T20:29:49.670Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-24T20:34:36.152Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-24T20:39:22.620Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-24T20:44:09.171Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-24T20:48:36.641Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-24T20:50:50.489Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-24T20:55:36.904Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-24T21:00:23.406Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-24T21:05:09.885Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-24T21:09:56.230Z
